店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
ロイヤルホスト 東久留米店,042-475-1724,,東京都,東久留米市,前沢1-7-16,,https://ga64079.gorp.jp/,TRUE
いっ星,050-5485-9661,,東京都,港区,新橋3-18-7,B1,https://gdhx100.gorp.jp/,TRUE
地鶏焼き鳥と築地海鮮 完全個室 よりみち 新橋総本店,050-5494-0506,,東京都,港区,新橋3-19-8,,https://gh2n501.gorp.jp/,TRUE
グリルド エイジング・ビーフ＆デリカテッセン 淡路町店,050-5486-4582,,東京都,千代田区,神田司町2-10,安和司町ビル1F,http://agingbeef.jp/gab_awajicho,FALSE
大衆居酒屋 とりいちず 新橋SL広場前店,050-5488-4761,,東京都,港区,新橋2-15-7,7F,https://gd02250.gorp.jp/,TRUE
北海道唐揚げの元祖ザンギ ブラ セリエ 渋谷／神泉,050-5488-2588,,東京都,渋谷区,松濤1-28-7,シャトレー松濤B1,http://brasserie-shoto.com/,FALSE
全席個室 楽蔵‐RAKUZO‐ 大崎センタービル店,050-5486-0717,,東京都,品川区,大崎1-5-1,大崎センタービル2F,http://rakuzo.dkdining.com/osaki/,FALSE
菜な 日本橋 コレド室町店,050-5485-1225,,東京都,中央区,日本橋室町2-2-1,コレド室町3F,,FALSE
銀座羊屋,050-5493-7338,,東京都,中央区,銀座7-11-10,銭形ビル2F,http://pips-tokyo.jp/abc/11index.html,FALSE
個室居酒屋 牛タン 圭助 門前仲町,050-5485-3317,,東京都,江東区,門前仲町1-4-5,,http://kidshd.co.jp/,FALSE
個室×魚×三陸 金市朗 市ヶ谷本店,050-5485-7772,,東京都,千代田区,六番町4-3,GEMS市ヶ谷6F,https://kinichirou.gorp.jp/,TRUE
馬並み家 新橋,050-5484-9076,,東京都,港区,新橋2-9-17,第2常磐ビル1F,https://www.dd-holdings.jp/shops/umanamiya,TRUE
和食個室居酒屋 地鶏焼き 鳥利久 品川グランドセントラルタワー店,050-5486-1704,,東京都,港区,港南2-16-3,品川グランドセントラルタワーB1,https://ghjm104.gorp.jp/,TRUE
ロシア料理レストラン ROGOVSKI,050-5487-4427,,東京都,中央区,銀座5-7-10,イグジットメルサ7F,https://gegu100.gorp.jp/,TRUE
スペイン バル マルコナ,050-5492-8101,,東京都,中央区,銀座8-7-7,中央林ビル2F,https://gh5t600.gorp.jp/,TRUE
鮒いち 巣鴨店,03-3576-2727,,東京都,豊島区,巣鴨2-2-1,,https://funaichi-sugamo.gorp.jp/,TRUE
炭火焼肉 KOMA GINZA,050-5487-1286,,東京都,中央区,銀座7-7-7,GINZA 777 ADC BUILDING8F,https://sim-corp.co.jp/,TRUE
想いの木,050-5485-5508,,東京都,新宿区,神楽坂5-22,KS神楽坂2F,https://e996300.gorp.jp/,TRUE
牡蠣と燻屋かつを 赤羽店,050-5484-6755,,東京都,北区,赤羽南1-6-5,,http://www.charari.co.jp/,FALSE
麹蔵 神田店,050-5484-9926,,東京都,千代田区,内神田3-13-4,東陽ビルB1・1F,,FALSE
シェリー専門店＆スペイン料理 しぇりークラブ,050-5484-3033,,東京都,中央区,銀座6-3-17,悠玄ビル2・3F,https://sherryclub.jp/,TRUE
わらやき屋 浜松町,050-5484-8171,,東京都,港区,海岸1-2-20,汐留ビルディング1F,https://www.dd-holdings.jp/shops/warayakiya/hamamatsucho,TRUE
七輪焼肉 安安 江古田店,050-5487-4819,,東京都,練馬区,旭丘1-73-10,2F,https://gg7g043.gorp.jp/,TRUE
かに道楽新宿本店,050-5488-8360,,東京都,新宿区,新宿3-14-20,テアトルビル7・8F,https://douraku.co.jp/kanto/shinjyuku_h/,TRUE
新潟・佐渡の旬と地酒 のど黒のあくび 御徒町店,03-6284-4393,,東京都,台東区,上野5-25-8,御徒町グランディアビル1F～B1,https://gdy1213.gorp.jp/,TRUE
鳥焼 笹や,050-5487-9765,,東京都,目黒区,目黒1-24-6,,https://ge40200.gorp.jp/,TRUE
焼肉ジンギスカン専門店 ラム新 上野店,050-5487-1370,,東京都,文京区,湯島3-44-8,,https://gj4d200.gorp.jp/,TRUE
フランス料理 ビストロボンファム,050-5485-3849,,東京都,港区,赤坂1-3-13,,http://www.bonne-femme.jp/,FALSE
個室居酒屋 いいとこ鶏 品川店,050-5486-8587,,東京都,港区,港南2-4-18,3F,https://ge6a119.gorp.jp/,TRUE
鰻の成瀬 北千住店,050-5487-9124,,東京都,足立区,千住3-4,結城ビル1F,https://gj3w707.gorp.jp/,TRUE
炭火焼鳥と炙り肉寿司食べ放題 個室居酒屋 黒帯 高田馬場店,050-5492-5201,,東京都,新宿区,高田馬場１-26-5,FIビルB1,https://ggys703.gorp.jp/,TRUE
